INFO  2018-06-15 10:00:58,790 eParkingEODCreater.Form1 (48) - 123
ERROR 2018-06-15 10:06:36,384 eParkingEODCreater.Form1 (194) - 20,2
ERROR 2018-06-15 10:11:13,271 eParkingEODCreater.Form1 (194) - 20,2
ERROR 2018-06-15 10:11:56,017 eParkingEODCreater.Form1 (194) - 3,2
ERROR 2018-06-15 10:11:56,115 eParkingEODCreater.Form1 (195) - System.ArgumentOutOfRangeException: 索引超出範圍。必須為非負數且小於集合的大小。
參數名稱: index
   於 System.ThrowHelper.ThrowArgumentOutOfRangeException(ExceptionArgument argument, ExceptionResource resource)
   於 System.Collections.Generic.List`1.get_Item(Int32 index)
   於 eParkingEODCreater.Form1.OnThreadedDataRequest(Object sender) 於 c:\MyApplication\eParkingEODCreater\Form1.cs: 行 190
ERROR 2018-06-15 10:15:21,078 eParkingEODCreater.Form1 (194) - 1,0
ERROR 2018-06-15 10:15:25,061 eParkingEODCreater.Form1 (195) - System.ArgumentOutOfRangeException: 索引超出範圍。必須為非負數且小於集合的大小。
參數名稱: index
   於 System.ThrowHelper.ThrowArgumentOutOfRangeException(ExceptionArgument argument, ExceptionResource resource)
   於 System.Collections.Generic.List`1.get_Item(Int32 index)
   於 eParkingEODCreater.Form1.OnThreadedDataRequest(Object sender) 於 c:\MyApplication\eParkingEODCreater\Form1.cs: 行 190
ERROR 2018-06-15 10:24:29,832 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,860 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,863 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,867 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,909 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,913 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,918 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,922 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,928 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,931 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,936 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,941 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,944 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,950 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,954 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,958 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:29,961 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:30,058 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:30,062 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:30,066 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:30,070 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:30,076 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:30,079 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:30,082 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:30,086 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:30,092 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:30,095 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:30,098 eParkingEODCreater.Form1 (189) - 1,0
ERROR 2018-06-15 10:24:30,102 eParkingEODCreater.Form1 (189) - 1,0
